as.matrix.net.colors.,
turquoise,7
turquoise,7
grey,5
blue,2
blue,2
blue,2
turquoise,7
grey,5
blue,2
brown,3
grey,5
blue,2
turquoise,7
grey,5
brown,3
blue,2
brown,3
blue,2
yellow,8
turquoise,7
brown,3
blue,2
black,1
brown,3
yellow,8
brown,3
green,4
turquoise,7
grey,5
yellow,8
brown,3
brown,3
black,1
blue,2
black,1
green,4
brown,3
blue,2
brown,3
green,4
grey,5
turquoise,7
turquoise,7
turquoise,7
grey,5
grey,5
green,4
blue,2
grey,5
grey,5
turquoise,7
green,4
blue,2
red,6
red,6
grey,5
grey,5
grey,5
green,4
grey,5
blue,2
brown,3
blue,2
grey,5
black,1
grey,5
turquoise,7
grey,5
green,4
brown,3
blue,2
blue,2
grey,5
brown,3
brown,3
grey,5
turquoise,7
yellow,8
grey,5
green,4
red,6
yellow,8
turquoise,7
brown,3
brown,3
grey,5
blue,2
blue,2
grey,5
blue,2
grey,5
red,6
blue,2
grey,5
blue,2
black,1
black,1
grey,5
turquoise,7
yellow,8
black,1
grey,5
brown,3
turquoise,7
brown,3
blue,2
turquoise,7
grey,5
blue,2
green,4
blue,2
grey,5
grey,5
grey,5
turquoise,7
black,1
grey,5
grey,5
green,4
black,1
blue,2
red,6
green,4
black,1
brown,3
grey,5
grey,5
red,6
grey,5
turquoise,7
red,6
grey,5
green,4
blue,2
turquoise,7
turquoise,7
brown,3
red,6
grey,5
brown,3
green,4
grey,5
blue,2
turquoise,7
grey,5
turquoise,7
grey,5
turquoise,7
brown,3
blue,2
grey,5
grey,5
brown,3
brown,3
blue,2
turquoise,7
turquoise,7
green,4
blue,2
brown,3
brown,3
brown,3
blue,2
grey,5
green,4
grey,5
brown,3
grey,5
grey,5
blue,2
green,4
grey,5
yellow,8
yellow,8
black,1
brown,3
yellow,8
brown,3
blue,2
turquoise,7
turquoise,7
turquoise,7
turquoise,7
blue,2
blue,2
grey,5
turquoise,7
blue,2
brown,3
turquoise,7
green,4
green,4
yellow,8
grey,5
grey,5
grey,5
blue,2
turquoise,7
yellow,8
black,1
grey,5
yellow,8
brown,3
grey,5
turquoise,7
grey,5
red,6
grey,5
grey,5
grey,5
grey,5
turquoise,7
grey,5
grey,5
blue,2
black,1
black,1
yellow,8
grey,5
grey,5
brown,3
turquoise,7
brown,3
blue,2
yellow,8
black,1
black,1
grey,5
yellow,8
grey,5
blue,2
green,4
turquoise,7
black,1
turquoise,7
turquoise,7
brown,3
black,1
green,4
turquoise,7
green,4
brown,3
grey,5
red,6
blue,2
turquoise,7
turquoise,7
turquoise,7
black,1
brown,3
red,6
turquoise,7
grey,5
turquoise,7
yellow,8
yellow,8
turquoise,7
turquoise,7
grey,5
brown,3
green,4
yellow,8
yellow,8
brown,3
turquoise,7
turquoise,7
brown,3
green,4
turquoise,7
black,1
brown,3
turquoise,7
blue,2
brown,3
black,1
grey,5
grey,5
turquoise,7
grey,5
grey,5
grey,5
brown,3
turquoise,7
yellow,8
blue,2
blue,2
turquoise,7
green,4
brown,3
green,4
grey,5
turquoise,7
turquoise,7
yellow,8
turquoise,7
yellow,8
turquoise,7
turquoise,7
green,4
turquoise,7
brown,3
grey,5
turquoise,7
turquoise,7
yellow,8
black,1
brown,3
black,1
turquoise,7
turquoise,7
blue,2
brown,3
turquoise,7
grey,5
blue,2
grey,5
grey,5
green,4
blue,2
turquoise,7
green,4
turquoise,7
turquoise,7
brown,3
brown,3
brown,3
grey,5
blue,2
blue,2
green,4
turquoise,7
grey,5
red,6
grey,5
green,4
blue,2
grey,5
black,1
brown,3
turquoise,7
turquoise,7
red,6
black,1
brown,3
grey,5
turquoise,7
grey,5
turquoise,7
grey,5
turquoise,7
brown,3
yellow,8
turquoise,7
green,4
black,1
red,6
green,4
black,1
yellow,8
yellow,8
turquoise,7
grey,5
black,1
blue,2
grey,5
turquoise,7
red,6
blue,2
grey,5
brown,3
grey,5
turquoise,7
red,6
grey,5
grey,5
turquoise,7
brown,3
grey,5
blue,2
turquoise,7
turquoise,7
blue,2
blue,2
blue,2
brown,3
turquoise,7
turquoise,7
turquoise,7
turquoise,7
blue,2
red,6
grey,5
brown,3
grey,5
grey,5
yellow,8
turquoise,7
brown,3
brown,3
green,4
grey,5
grey,5
turquoise,7
green,4
blue,2
yellow,8
black,1
grey,5
turquoise,7
brown,3
green,4
turquoise,7
blue,2
brown,3
green,4
blue,2
turquoise,7
brown,3
turquoise,7
grey,5
grey,5
red,6
green,4
turquoise,7
brown,3
grey,5
turquoise,7
yellow,8
grey,5
blue,2
turquoise,7
grey,5
blue,2
blue,2
black,1
grey,5
grey,5
grey,5
brown,3
green,4
brown,3
red,6
red,6
turquoise,7
grey,5
grey,5
brown,3
grey,5
brown,3
grey,5
brown,3
green,4
turquoise,7
black,1
green,4
turquoise,7
grey,5
blue,2
blue,2
turquoise,7
grey,5
grey,5
brown,3
blue,2
turquoise,7
black,1
brown,3
black,1
turquoise,7
yellow,8
turquoise,7
turquoise,7
grey,5
black,1
turquoise,7
grey,5
yellow,8
turquoise,7
green,4
brown,3
turquoise,7
red,6
grey,5
turquoise,7
green,4
red,6
brown,3
turquoise,7
brown,3
grey,5
green,4
black,1
turquoise,7
grey,5
blue,2
grey,5
grey,5
turquoise,7
blue,2
blue,2
black,1
green,4
black,1
blue,2
grey,5
blue,2
brown,3
brown,3
brown,3
turquoise,7
grey,5
blue,2
blue,2
grey,5
blue,2
grey,5
brown,3
grey,5
yellow,8
grey,5
brown,3
grey,5
turquoise,7
grey,5
grey,5
green,4
turquoise,7
grey,5
grey,5
blue,2
green,4
brown,3
turquoise,7
brown,3
blue,2
yellow,8
brown,3
red,6
grey,5
turquoise,7
blue,2
brown,3
grey,5
red,6
grey,5
grey,5
turquoise,7
