as.matrix.net.colors.,
grey,3
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
grey,3
brown,2
turquoise,4
grey,3
turquoise,4
grey,3
blue,1
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
blue,1
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
blue,1
turquoise,4
turquoise,4
grey,3
turquoise,4
blue,1
grey,3
grey,3
turquoise,4
turquoise,4
grey,3
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
blue,1
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
grey,3
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
blue,1
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
grey,3
turquoise,4
grey,3
blue,1
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
brown,2
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
blue,1
turquoise,4
turquoise,4
turquoise,4
brown,2
turquoise,4
grey,3
turquoise,4
grey,3
blue,1
turquoise,4
turquoise,4
turquoise,4
blue,1
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
blue,1
turquoise,4
turquoise,4
grey,3
turquoise,4
grey,3
turquoise,4
blue,1
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
grey,3
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
brown,2
grey,3
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
brown,2
turquoise,4
grey,3
turquoise,4
grey,3
turquoise,4
turquoise,4
grey,3
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
brown,2
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
blue,1
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
blue,1
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
blue,1
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
blue,1
grey,3
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
grey,3
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
brown,2
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
brown,2
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
blue,1
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
blue,1
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
blue,1
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
grey,3
turquoise,4
turquoise,4
grey,3
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
grey,3
brown,2
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
brown,2
turquoise,4
grey,3
turquoise,4
turquoise,4
blue,1
turquoise,4
turquoise,4
blue,1
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
blue,1
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
grey,3
turquoise,4
turquoise,4
turquoise,4
turquoise,4
blue,1
grey,3
turquoise,4
turquoise,4
turquoise,4
