as.matrix.net.colors.,
turquoise,5
grey,4
turquoise,5
turquoise,5
grey,4
yellow,6
brown,2
turquoise,5
turquoise,5
turquoise,5
turquoise,5
green,3
turquoise,5
grey,4
yellow,6
turquoise,5
green,3
turquoise,5
grey,4
green,3
blue,1
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
yellow,6
green,3
grey,4
turquoise,5
grey,4
grey,4
turquoise,5
yellow,6
yellow,6
turquoise,5
grey,4
turquoise,5
turquoise,5
turquoise,5
green,3
brown,2
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
brown,2
turquoise,5
grey,4
brown,2
turquoise,5
brown,2
turquoise,5
turquoise,5
turquoise,5
green,3
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
brown,2
green,3
turquoise,5
turquoise,5
turquoise,5
grey,4
turquoise,5
green,3
grey,4
turquoise,5
green,3
turquoise,5
brown,2
green,3
yellow,6
grey,4
turquoise,5
yellow,6
brown,2
brown,2
turquoise,5
yellow,6
turquoise,5
yellow,6
yellow,6
turquoise,5
brown,2
turquoise,5
turquoise,5
grey,4
turquoise,5
turquoise,5
yellow,6
brown,2
turquoise,5
grey,4
yellow,6
turquoise,5
turquoise,5
turquoise,5
grey,4
blue,1
brown,2
turquoise,5
turquoise,5
turquoise,5
grey,4
turquoise,5
yellow,6
turquoise,5
yellow,6
grey,4
turquoise,5
yellow,6
blue,1
turquoise,5
turquoise,5
turquoise,5
yellow,6
turquoise,5
turquoise,5
turquoise,5
yellow,6
brown,2
grey,4
turquoise,5
turquoise,5
turquoise,5
green,3
turquoise,5
blue,1
turquoise,5
grey,4
turquoise,5
turquoise,5
turquoise,5
turquoise,5
grey,4
yellow,6
brown,2
turquoise,5
turquoise,5
turquoise,5
green,3
turquoise,5
grey,4
turquoise,5
turquoise,5
green,3
turquoise,5
turquoise,5
grey,4
yellow,6
grey,4
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
green,3
yellow,6
grey,4
grey,4
blue,1
turquoise,5
blue,1
grey,4
turquoise,5
turquoise,5
turquoise,5
blue,1
turquoise,5
turquoise,5
blue,1
turquoise,5
yellow,6
brown,2
blue,1
grey,4
yellow,6
yellow,6
turquoise,5
turquoise,5
turquoise,5
turquoise,5
grey,4
turquoise,5
turquoise,5
yellow,6
grey,4
turquoise,5
turquoise,5
blue,1
turquoise,5
turquoise,5
turquoise,5
turquoise,5
blue,1
turquoise,5
grey,4
turquoise,5
turquoise,5
turquoise,5
turquoise,5
yellow,6
yellow,6
turquoise,5
turquoise,5
grey,4
turquoise,5
turquoise,5
green,3
grey,4
turquoise,5
blue,1
turquoise,5
yellow,6
yellow,6
turquoise,5
brown,2
brown,2
brown,2
green,3
yellow,6
grey,4
turquoise,5
blue,1
turquoise,5
turquoise,5
blue,1
turquoise,5
green,3
yellow,6
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
blue,1
grey,4
turquoise,5
yellow,6
turquoise,5
blue,1
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
grey,4
turquoise,5
turquoise,5
grey,4
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
blue,1
turquoise,5
yellow,6
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
yellow,6
turquoise,5
grey,4
turquoise,5
turquoise,5
brown,2
turquoise,5
turquoise,5
blue,1
turquoise,5
green,3
green,3
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
grey,4
turquoise,5
turquoise,5
turquoise,5
grey,4
turquoise,5
yellow,6
turquoise,5
grey,4
green,3
grey,4
turquoise,5
turquoise,5
turquoise,5
brown,2
green,3
yellow,6
turquoise,5
grey,4
turquoise,5
brown,2
blue,1
turquoise,5
turquoise,5
turquoise,5
turquoise,5
green,3
yellow,6
turquoise,5
turquoise,5
turquoise,5
yellow,6
turquoise,5
turquoise,5
turquoise,5
green,3
turquoise,5
turquoise,5
turquoise,5
turquoise,5
brown,2
turquoise,5
yellow,6
turquoise,5
yellow,6
turquoise,5
turquoise,5
yellow,6
yellow,6
yellow,6
turquoise,5
turquoise,5
turquoise,5
turquoise,5
yellow,6
turquoise,5
green,3
grey,4
yellow,6
grey,4
grey,4
turquoise,5
turquoise,5
turquoise,5
grey,4
green,3
turquoise,5
blue,1
turquoise,5
grey,4
turquoise,5
turquoise,5
grey,4
turquoise,5
turquoise,5
turquoise,5
turquoise,5
grey,4
turquoise,5
blue,1
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
blue,1
turquoise,5
turquoise,5
brown,2
turquoise,5
turquoise,5
grey,4
turquoise,5
grey,4
turquoise,5
turquoise,5
turquoise,5
grey,4
turquoise,5
grey,4
turquoise,5
turquoise,5
yellow,6
yellow,6
turquoise,5
turquoise,5
yellow,6
turquoise,5
brown,2
grey,4
yellow,6
grey,4
grey,4
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
blue,1
turquoise,5
turquoise,5
yellow,6
grey,4
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
yellow,6
turquoise,5
yellow,6
grey,4
grey,4
grey,4
grey,4
brown,2
turquoise,5
turquoise,5
turquoise,5
grey,4
turquoise,5
green,3
brown,2
turquoise,5
yellow,6
turquoise,5
turquoise,5
turquoise,5
blue,1
turquoise,5
turquoise,5
grey,4
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
yellow,6
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
blue,1
grey,4
blue,1
turquoise,5
turquoise,5
turquoise,5
turquoise,5
yellow,6
turquoise,5
turquoise,5
grey,4
turquoise,5
yellow,6
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
grey,4
grey,4
grey,4
turquoise,5
turquoise,5
grey,4
turquoise,5
grey,4
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
grey,4
yellow,6
turquoise,5
grey,4
turquoise,5
turquoise,5
yellow,6
turquoise,5
turquoise,5
blue,1
yellow,6
turquoise,5
green,3
brown,2
turquoise,5
yellow,6
turquoise,5
turquoise,5
brown,2
turquoise,5
grey,4
brown,2
turquoise,5
grey,4
turquoise,5
yellow,6
grey,4
grey,4
turquoise,5
green,3
turquoise,5
turquoise,5
green,3
turquoise,5
blue,1
turquoise,5
yellow,6
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
grey,4
turquoise,5
yellow,6
turquoise,5
turquoise,5
turquoise,5
turquoise,5
turquoise,5
grey,4
grey,4
yellow,6
grey,4
grey,4
turquoise,5
turquoise,5
grey,4
turquoise,5
yellow,6
turquoise,5
grey,4
turquoise,5
turquoise,5
grey,4
turquoise,5
yellow,6
turquoise,5
grey,4
grey,4
turquoise,5
turquoise,5
yellow,6
grey,4
turquoise,5
turquoise,5
turquoise,5
