as.matrix.net.colors.,
yellow,9
turquoise,8
blue,2
green,4
turquoise,8
red,7
turquoise,8
red,7
yellow,9
pink,6
turquoise,8
turquoise,8
turquoise,8
blue,2
blue,2
brown,3
green,4
black,1
black,1
turquoise,8
grey,5
grey,5
turquoise,8
black,1
turquoise,8
blue,2
yellow,9
turquoise,8
blue,2
turquoise,8
grey,5
brown,3
turquoise,8
turquoise,8
red,7
turquoise,8
turquoise,8
brown,3
turquoise,8
yellow,9
blue,2
turquoise,8
brown,3
green,4
turquoise,8
turquoise,8
green,4
blue,2
turquoise,8
turquoise,8
turquoise,8
turquoise,8
grey,5
grey,5
turquoise,8
turquoise,8
blue,2
red,7
grey,5
grey,5
black,1
turquoise,8
yellow,9
turquoise,8
brown,3
grey,5
turquoise,8
turquoise,8
turquoise,8
turquoise,8
grey,5
brown,3
turquoise,8
black,1
turquoise,8
turquoise,8
yellow,9
blue,2
brown,3
blue,2
turquoise,8
grey,5
turquoise,8
blue,2
green,4
grey,5
turquoise,8
turquoise,8
grey,5
blue,2
green,4
turquoise,8
grey,5
pink,6
brown,3
blue,2
turquoise,8
turquoise,8
grey,5
turquoise,8
turquoise,8
blue,2
green,4
blue,2
grey,5
grey,5
grey,5
turquoise,8
turquoise,8
turquoise,8
green,4
blue,2
blue,2
turquoise,8
black,1
turquoise,8
grey,5
turquoise,8
green,4
blue,2
yellow,9
turquoise,8
grey,5
grey,5
grey,5
turquoise,8
turquoise,8
turquoise,8
turquoise,8
grey,5
turquoise,8
brown,3
blue,2
turquoise,8
turquoise,8
yellow,9
turquoise,8
turquoise,8
blue,2
turquoise,8
grey,5
turquoise,8
blue,2
grey,5
green,4
yellow,9
turquoise,8
blue,2
turquoise,8
turquoise,8
grey,5
grey,5
green,4
grey,5
grey,5
pink,6
blue,2
red,7
blue,2
turquoise,8
turquoise,8
turquoise,8
red,7
turquoise,8
blue,2
grey,5
turquoise,8
green,4
blue,2
brown,3
grey,5
green,4
green,4
turquoise,8
turquoise,8
turquoise,8
grey,5
yellow,9
blue,2
turquoise,8
red,7
grey,5
turquoise,8
yellow,9
grey,5
blue,2
grey,5
turquoise,8
turquoise,8
pink,6
turquoise,8
grey,5
turquoise,8
turquoise,8
turquoise,8
turquoise,8
turquoise,8
green,4
blue,2
turquoise,8
green,4
turquoise,8
turquoise,8
yellow,9
black,1
blue,2
brown,3
blue,2
turquoise,8
turquoise,8
blue,2
brown,3
blue,2
grey,5
yellow,9
black,1
black,1
brown,3
grey,5
turquoise,8
turquoise,8
grey,5
turquoise,8
pink,6
turquoise,8
blue,2
turquoise,8
turquoise,8
turquoise,8
turquoise,8
brown,3
grey,5
grey,5
black,1
blue,2
turquoise,8
blue,2
brown,3
turquoise,8
turquoise,8
grey,5
brown,3
turquoise,8
blue,2
yellow,9
blue,2
turquoise,8
blue,2
blue,2
turquoise,8
turquoise,8
brown,3
turquoise,8
grey,5
turquoise,8
turquoise,8
grey,5
grey,5
turquoise,8
blue,2
brown,3
turquoise,8
turquoise,8
black,1
turquoise,8
grey,5
turquoise,8
blue,2
brown,3
blue,2
turquoise,8
grey,5
turquoise,8
yellow,9
yellow,9
blue,2
blue,2
blue,2
blue,2
turquoise,8
turquoise,8
blue,2
grey,5
turquoise,8
turquoise,8
turquoise,8
black,1
turquoise,8
green,4
blue,2
turquoise,8
pink,6
red,7
grey,5
turquoise,8
turquoise,8
brown,3
green,4
green,4
turquoise,8
yellow,9
turquoise,8
brown,3
red,7
turquoise,8
blue,2
brown,3
blue,2
pink,6
green,4
turquoise,8
red,7
blue,2
turquoise,8
brown,3
blue,2
turquoise,8
pink,6
turquoise,8
turquoise,8
blue,2
turquoise,8
grey,5
turquoise,8
turquoise,8
turquoise,8
turquoise,8
turquoise,8
blue,2
grey,5
black,1
green,4
turquoise,8
turquoise,8
turquoise,8
blue,2
black,1
turquoise,8
turquoise,8
grey,5
green,4
turquoise,8
turquoise,8
brown,3
turquoise,8
grey,5
grey,5
yellow,9
turquoise,8
grey,5
blue,2
turquoise,8
turquoise,8
blue,2
turquoise,8
turquoise,8
turquoise,8
brown,3
turquoise,8
black,1
blue,2
yellow,9
turquoise,8
turquoise,8
blue,2
blue,2
turquoise,8
blue,2
turquoise,8
yellow,9
blue,2
brown,3
brown,3
turquoise,8
turquoise,8
turquoise,8
turquoise,8
red,7
blue,2
grey,5
turquoise,8
grey,5
turquoise,8
grey,5
blue,2
turquoise,8
grey,5
black,1
turquoise,8
turquoise,8
yellow,9
turquoise,8
blue,2
turquoise,8
turquoise,8
black,1
red,7
green,4
blue,2
blue,2
blue,2
blue,2
black,1
turquoise,8
grey,5
turquoise,8
green,4
pink,6
brown,3
turquoise,8
turquoise,8
turquoise,8
green,4
blue,2
turquoise,8
turquoise,8
yellow,9
grey,5
pink,6
blue,2
grey,5
turquoise,8
turquoise,8
grey,5
blue,2
red,7
brown,3
black,1
turquoise,8
blue,2
turquoise,8
turquoise,8
grey,5
turquoise,8
turquoise,8
blue,2
turquoise,8
turquoise,8
turquoise,8
blue,2
brown,3
turquoise,8
grey,5
blue,2
grey,5
turquoise,8
turquoise,8
turquoise,8
grey,5
grey,5
grey,5
turquoise,8
black,1
green,4
turquoise,8
grey,5
turquoise,8
blue,2
turquoise,8
turquoise,8
green,4
turquoise,8
green,4
turquoise,8
turquoise,8
brown,3
turquoise,8
turquoise,8
turquoise,8
grey,5
red,7
green,4
blue,2
blue,2
grey,5
turquoise,8
turquoise,8
blue,2
blue,2
turquoise,8
blue,2
blue,2
grey,5
turquoise,8
blue,2
turquoise,8
blue,2
blue,2
green,4
